,age_range,outcome,involved_person,self_defined_ethnicity,gender,legislation,outcome_linked_to_object_of_search,datetime,removal_of_more_than_outer_clothing,operation,officer_defined_ethnicity,type,operation_name,object_of_search,outcome_object.id,outcome_object.name,location.latitude,location.street.id,location.street.name,location.longitude
133,over 34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2021-12-17T00:00:00+00:00,False,,White,Person search,,Stolen goods,bu-no-further-action,A no further action disposal,51.557103,1317188,On or near Leighfield Close,-1.782204
134,18-24,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2021-12-18T00:00:00+00:00,False,,White,Person search,,Stolen goods,bu-no-further-action,A no further action disposal,51.319075,1313083,On or near Stallard Street,-2.213642
135,18-24,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Police and Criminal Evidence Act 1984 (section 1),,2021-12-18T00:00:00+00:00,False,,White,Person search,,Stolen goods,bu-no-further-action,A no further action disposal,51.319075,1313083,On or near Stallard Street,-2.213642
136,18-24,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Police and Criminal Evidence Act 1984 (section 1),,2021-12-18T00:00:00+00:00,False,,White,Person search,,Stolen goods,bu-no-further-action,A no further action disposal,51.319075,1313083,On or near Stallard Street,-2.213642
137,18-24,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Police and Criminal Evidence Act 1984 (section 1),,2021-12-18T00:00:00+00:00,False,,White,Person search,,Stolen goods,bu-no-further-action,A no further action disposal,51.319075,1313083,On or near Stallard Street,-2.213642
138,25-34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2021-12-18T00:00:00+00:00,False,,White,Person search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.367433,1314361,On or near Lavender Close,-2.127450
139,25-34,A no further action disposal,True,Asian/Asian British - Any other Asian background,Male,Police and Criminal Evidence Act 1984 (section 1),,2021-12-18T00:00:00+00:00,False,,Asian,Person search,,Offensive weapons,bu-no-further-action,A no further action disposal,51.561544,1317882,On or near Queen Street,-1.786799
140,18-24,A no further action disposal,True,Other ethnic group - Not stated,Female,Police and Criminal Evidence Act 1984 (section 1),,2021-12-19T00:00:00+00:00,False,,White,Person search,,Offensive weapons,bu-no-further-action,A no further action disposal,51.373381,1314436,On or near Supermarket,-2.138730
141,over 34,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),True,2021-12-19T00:00:00+00:00,False,,White,Person search,,Stolen goods,bu-arrest,Arrest,51.552615,1316852,On or near Knowsley Road,-1.754260
142,10-17,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2021-12-20T00:00:00+00:00,False,,White,Person search,,Offensive weapons,bu-no-further-action,A no further action disposal,51.587399,1319175,On or near Okus Grove,-1.775189
